topic,subtopic,subsubtopic,front,back
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.2 Cohen – Demographical Explanation,Cohen — “life got worse” parallel to Pomeranz,""Similar argumentation as Pomeranz: life did not get better but actually got worse — less physical activity (sedentary lifestyle); higher proximity to animals; higher population density → higher risk of catching infectious diseases; evidence: smaller skeletons of farmers vs. hunter-gatherers."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.2 Cohen – Demographical Explanation,Cohen — reproduction logic for population growth,""Overall lower cost for reproduction (i.e. did not have to move around with baby) and higher return for children such that mortality increases but fertility increases by even more, explaining the population growth post-Neolithic Revolution."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – History’s Have & Have Nots / To Farm and Not to Farm,Diamond — uneven emergence and why it matters,""Why food production emerged unevenly across regions; which is the ultimate cause of later differences in population density, states, and technology, as well as conquest."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – History’s Have & Have Nots / To Farm and Not to Farm,Diamond — “fertile vs fertile” + avoid determinism,""Question is not fertile vs. infertile land but fertile vs. fertile; plus avoid being geographically deterministic."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – History’s Have & Have Nots / To Farm and Not to Farm,Diamond — Eurasia’s early “package” → Guns/Germs/Steel advantage,""Explaining why Eurasia accumulated powerful “packages” early (food production → states/technology/germs) that by the time of transoceanic contact, Eurasian societies already had Guns, Germs, and Steel advantages."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – History’s Have & Have Nots / To Farm and Not to Farm,Diamond — why North America becomes modern leader,""Northern America becoming modern leader largely because it was populated/colonized by people that came from Eurasia’s high-tech states; they inherited that high-tech accumulated package which came in handy with their huge pool of land and resources."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – Domestication Timeline,Domestication timeline — dates/regions,""~8.500 BCE: Plants — Fertile Crescent (Southwest Asia); ~8.000 BCE: Animals — Fertile Crescent (Southwest Asia); ~7.500 BCE: Crops & animals — China; 6.000–3.500 BCE: Crops & animals — Europe (by diffusion, not independent); 2.500–1.500 BCE: Crops — Eastern US (first local founders)."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – Ch. 5 Discussion Regions,Diamond — “primary centers” definition,""“Primary centers” = independent origins of food production: regions where agriculture/herding arose de novo (people domesticated local plants/animals before any domesticated package arrived from elsewhere)."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – Ch. 5 Discussion Regions,Diamond — compelling primary centers,""Strong evidence for compelling centres: Southwest Asia / Fertile Crescent; China; Mesoamerica (central/southern Mexico + adjacent Central America); Andes + possibly adjacent Amazonia; Eastern United States."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – Ch. 5 Discussion Regions,Diamond — Fertile Crescent special role,""Fertile Crescent: exceptionally rich early set of domesticable plants and animals as well as an early start date for farming that diffuses outward."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – Ch. 5 Discussion Regions,Diamond — candidate centers + why uncertain,""Candidate centres (possible independent): Sahel; Tropical West Africa; New Guinea; Ethiopia. They’re “candidates” because there’s uncertainty whether food production was truly independent or triggered by arrivals from elsewhere (e.g., cattle possibly from Fertile Crescent into Sahel; Southwest Asian crops possibly arriving before/local domestication in Ethiopia; earliest crops in New Guinea not securely identified)."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – Ch. 5 Discussion Regions,Diamond — what needs explanation (where farming didn’t appear until modern times),""It’s unsurprising farming didn’t arise in places still ecologically hard today (Arctic, deserts). What “cries out for explanation” is why farming failed to appear until modern times in places that are excellent agricultural zones today, e.g.: California/Pacific states; Argentine pampas; SW & SE Australia; Cape region (South Africa)."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – Ch. 5 Discussion Regions,Diamond — adoption vs replacement,""Agricultural development either by adoption without replacement (gradual incorporation) or abrupt replacement by incoming farmers."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – Ch. 5 Discussion Regions,Diamond — key claim leading to Ch. 6,""Even if a region looks “fertile,” food production depends on whether it had a domesticable package available locally (plants/animals worth domesticating) and (Ch. 6) whether pressures/conditions made adopting farming advantageous (population dynamics, wild resource abundance, etc.)."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – Ch. 6 Why adopt Farming when worse?,Diamond — why adopt if early farming worse?,""Early farming made lives often worse (nutrition, workload, activity, disease) → so why would you? Underline that they did not choose into progress."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – Ch. 6 Why adopt Farming when worse?,Diamond — farming vs H&G as competing strategies,""Interpretation as comparing “lifestyles” either hunter-gatherer or farming — competing strategies: full-package farming; piece-meal (some farming, some H&G); reject & full H&G."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.3 Diamond – Ch. 6 Why adopt Farming when worse?,Diamond — five factors/drivers of farming,""Five factors/drivers of farming: (I) decline of wild foods; (II) increased availability of domesticable wild plants; (III) cumulative technology for harvesting, processing & storing; (IV) positive feedback between population and food production; (V) competition and displacement of H&G (denser food-producing groups outcompete H&G; choice is get displaced or adopt)."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.4 Characteristics of Agrarian Societies,Characteristics of agrarian societies — negative outcomes,""Negative outcomes: poorer diet; higher prevalence of disease; increased amount of working hours per-capita."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.4 Characteristics of Agrarian Societies,Characteristics of agrarian societies — positive outcomes (toward urban revolution),""Positive outcomes leading to urban revolution: better organized and more ambitious societies could develop; division of labour; more complex social structures → accumulation of knowledge."""
"1. Origins of Divergence,1.2 Neolithic Revolution,1.2.4 Characteristics of Agrarian Societies,Characteristics of agrarian societies — writing,""Discovery of writing allowing passing on knowledge across generations."""
"1. Origins of Divergence,1.3 Proto-Divergence / Eurasia better for Agriculture,1.3.1 Diamond – Advantages of Some Crops over Others,Diamond — crop package superiority claim,""Domesticable species available in Asia are superior to those available in the Americas and Oceania; due to the East-West axis they were later exported to Europe; geography matters."""
"1. Origins of Divergence,1.3 Proto-Divergence / Eurasia better for Agriculture,1.3.1 Diamond – Advantages of Some Crops over Others,Diamond — Americas disadvantaged by late arrival,""Americas further disadvantaged by later arrival/late human colonization."""
"1. Origins of Divergence,1.3 Proto-Divergence / Eurasia better for Agriculture,1.3.2 2 Major Advantages of Crops & Animals,Two major advantages — overview,""(I) More domesticable species available; (II) Some of those better (more productive, too)."""
"1. Origins of Divergence,1.3 Proto-Divergence / Eurasia better for Agriculture,1.3.2 2 Major Advantages of Crops & Animals,Plants — wheat/rice vs maize/potato + domestication difficulty,""Plants: wheat and rice are nutritionally superior to maize and potato; maize was difficult to domesticate — wild species are deeply different from current domesticated ones; domestication took millennia for maize and only few centuries for wheat."""
"1. Origins of Divergence,1.3 Proto-Divergence / Eurasia better for Agriculture,1.3.2 2 Major Advantages of Crops & Animals,Animals — Eurasian large mammals vs llama,""Animals: cows and horses are more versatile, stronger, and better suited for hard work than llama; in the Americas llama was the only domesticable mammal of large size available compared to 13 species available in Eurasia."""
"1. Origins of Divergence,1.3 Proto-Divergence / Eurasia better for Agriculture,1.3.3 Geography,Geography — East-West axis advantages,""East-West axis → migration: same climatic belt → agriculture can spread; travel → innovation; Americas bottleneck; other barriers (desert and mountains)."""
"1. Origins of Divergence,1.3 Proto-Divergence / Eurasia better for Agriculture,1.3.3 Geography,Geography — time of arrival (peopling the Americas),""Humans originating from Africa; 14,000 years ago North America; ~2,000 years to make full trip from Alaska to Patagonia."""
"1. Origins of Divergence,1.3 Proto-Divergence / Eurasia better for Agriculture,1.3.3 Geography,Diamond Ch. 10 “Tilted Axes” — core claim,""Importance of latitude → migration & diffusion; axis determines how easily crops and livestock thrived and technology diffused; Eurasia on East-West axis (similar latitude, climate & day length); Americas & Africa on North-South axis forces crops and animals to adapt to different climates, day lengths, and diseases."""
"1. Origins of Divergence,1.3 Proto-Divergence / Eurasia better for Agriculture,1.3.3 Geography,Diamond — why faster diffusion?,""Why faster diffusion? Latitude is the primary determinant of growing conditions; domesticated bundles move easier between regions with similar latitudes."""
"1. Origins of Divergence,1.3 Proto-Divergence / Eurasia better for Agriculture,1.3.3 Geography,Diamond — diffusion examples (Eurasia vs Americas),""Evidence/examples: Southwest Asia → Europe; Philippines → Polynesia; versus Mexico → US; Andes → northward."""
"1. Origins of Divergence,1.3 Proto-Divergence / Eurasia better for Agriculture,1.3.3 Geography,Diamond — “fail to farm” puzzle + barriers/spillovers,""Fail to farm in Australia, California, South Africa’s Cape although farming nearby; geography blocking passage with key animals; axis effects also have spillover to other innovations (e.g. wheel/alphabet)."""
"1. Origins of Divergence,1.4 Urban Revolution,1.4.1 Diamond – Ch. 6 Farming Outcome,Agriculture → state capacity (overview),""Agriculture leading to state capacity: food surplus & storage → some people can be fed without farming full-time; non-farmers can pursue other tasks (soldiers, administrators, priests, artisans); overall state organizational capacity increases as well as technology."""
"1. Origins of Divergence,1.4 Urban Revolution,1.4.1 Diamond – Ch. 6 Farming Outcome,Surplus → population density → taxation/organization feedback,""Supporting higher population density → intensification feedback loop; larger and more settled societies are easier to tax and to organize; overall key for states and armies."""
"1. Origins of Divergence,1.4 Urban Revolution,1.4.1 Diamond – Ch. 6 Farming Outcome,Stratification & centralisation as state capacity,""Stratification & centralisation: management of land, irrigation, storage & redistribution tends to create hierarchies; institutions that can mobilise labor and resources develop state capacity."""
"1. Origins of Divergence,1.4 Urban Revolution,1.4.1 Diamond – Ch. 6 Farming Outcome,Domestic animals as power multiplier + germs,""Domestic animals = power multiplier: farm animals used for transportation and traction increasing productivity but also for military; zoonotic germs — long exposure to herd animals → infectious diseases such that dense farming societies develop more immunity to crowd diseases."""
"1. Origins of Divergence,1.4 Urban Revolution,1.4.2 Bronze Age — Full Effect of Advantages,Urban revolution — cities and first states (ca. 3000 BCE),""From ca. 3,000 BCE cities emerge in Europe and Asia; considerable increases in complexity of economies and societies due to ability of city to impose organization of activities of large surrounding territory; first cities → first states."""
"1. Origins of Divergence,1.4 Urban Revolution,1.4.2 Bronze Age — Full Effect of Advantages,Urban revolution — tribute/tax and new tasks,""Ability to raise tributes (tax) and use those tributes/concentration of resources to accomplish new and more complex tasks."""
"1. Origins of Divergence,1.4 Urban Revolution,1.4.2 Bronze Age — Full Effect of Advantages,Urbanization as proto-divergence,""Mostly localized process (Asia and Europe); urbanization as proto-divergence of Eurasia from the rest."""
"1. Origins of Divergence,1.4 Urban Revolution,1.4.3 Advantages & Steps of Urbanization,Steps of urbanization (I–VI),""I. Tributary state (able to collect tributes from subjects); II. Coordination of labour and accumulation of resources; III. More ambitious societies; IV. Better irrigation (applying water on land); V. Higher productivity per land → food production above subsistence → surplus → can focus on other problems than food; VI. Changes in property rights, inheritance system (descendance), marriage & other social institutions (e.g., where women move to, what in return, what as insurance…)."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.1 Diamond – Political Fragmentation,Political fragmentation — Europe vs Americas (15th c.),""End of 15th century / time of Columbus’ expeditions: Americas — only 2 empires able to mobilize large amounts of resources; Europe — competition between cities/states → fragmentation as comparative advantage of Europe over the Americas (but what about Asia?)."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.1 Diamond – Political Fragmentation,Eurasia — many states,""Eurasia: large amount of more or less developed states."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.2 Goody – Fundamental Similarities,Goody — counterargument to “European miracle”,""Counterargument (like Pomeranz) to European miracle: Eurasia fundamental similarities in institutions and cultural traits."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.2 Goody – Fundamental Similarities,Goody — rejects “Europe uniquely better” claims,""Opposed to institutional and cultural explanations for great divergence that claim: (i) Europe had uniquely “better” culture (rationality, individualism, work ethic, etc.), or (ii) Europe had uniquely “better” institutions (property rights, rule of law, “modern” family, etc.), while “the East” was structurally different in deep, long-run ways."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.2 Goody – Fundamental Similarities,Goody — why relevant here,""In our context, this reasoning holds for comparing Eurasia to the rest; focusing on: urban revolution and the development of tributary states; intensification of agricultural production in Eurasia through improved irrigation resulted in class divisions."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.3 Class Divisions & Family Institutions,Surplus → division of labour → class division,""Agricultural surplus → leads to division of labor → class division."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.3 Class Divisions & Family Institutions,Class division + devolution + marriage strategies,""Class division based on devolution (giving power to), which in turn is based on specific family institutions and complex marriage strategies to avoid dispersion of patrimonies."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.3 Class Divisions & Family Institutions,Property-heavy agrarian systems — inheritance + women as conduits,""In intensive, property-heavy agrarian systems: inheritance rules become central; women become part of the property/inheritance system in specific ways — property transmission is not only a male lineage affair; women can be conduits of property (e.g., dowry, inheritance shares, marriage transfers), even if their rights are constrained or mediated."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.3 Class Divisions & Family Institutions,Key assets list,""Key assets: land; herds; irrigated plots; stored grains; workshops."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.3 Class Divisions & Family Institutions,Household as economic unit + conjugal vs descent groups,""When key assets are privately or quasi-privately controlled: household becomes an economic unit; the conjugal family’s interests can come into tension with wider descent groups (clans and lineages)."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.3 Class Divisions & Family Institutions,Meaning of “families more independent from wider kin groups”,""Weaker domination by lineage elders over property decisions; more emphasis on the household estate (patrimony) as the unit to protect/manage; more deliberate control of marriage and fertility because they affect inheritance → property devolution reshapes family structure."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.3 Class Divisions & Family Institutions,Fragmentation problem + why marriage strategies emerge,""Each generation risks fragmenting the estate (splitting land among heirs, transferring wealth out via daughters’ marriages, competing claims among kin) → societies develop “marriage strategies” to manage the flow of property."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.3 Class Divisions & Family Institutions,Marriage strategies — examples across Eurasia,""Dowry systems; endogamy/cousin marriage; rules about inheritance distribution paired with marriage norms; strong parental control/arranged marriage (marriage as economic strategy)."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.3 Class Divisions & Family Institutions,Why not (or late) in Sub-Saharan Africa?,""Cities never as large; cities not able to organise activities of vast areas (environment partly responsible, too); methods of cultivation not as productive reducing importance; less diversified society such that hereditary transmission of rights on land was never really that important (nowhere near the importance as in Eurasia)."""
"1. Origins of Divergence,1.5 Proto-Divergence / Eurasia better by Institutions,1.5.3 Class Divisions & Family Institutions,Sub-Saharan Africa — outcomes + pathogens note,""Outcomes: African family institutions deeply different from Eurasian; pursuit of complex marriage strategies not that important. Also, higher rate of pathogens point: you need some density to have epidemics; less urban space in Africa."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.1 Definition,Great Divergence — definition,""the process which led Western Europe and some “European offshoots” in the New World to experience relatively quick rates of economic growth and to emerge as the most powerful and wealthy civilization of the world → in terms of Economic Growth and Power (i.e. Ability to impose Authority over others). European Offshoots being the Areas where Population with European origins dominant characterized by institutions and cultural traits with a predominantly European character."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.2 Theories for Beginning,Theories for beginning — 3 timing buckets,""I Earliest Origins (Black Death, 1347–1352): Clark & parts of Broadberry; Mechanism: Mortality → Factor Prices → Wages / Malthusian relaxation. II Early Origins (Early Modern, 1500–1700): 16th: New Maritime Routes; 17th: Scientific Revolution. III Late Origins (Industrial Revolution, late 18th/early 19th): Not earlier than 1750; some also underline that not just recent but also just short-lived."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.2 Theories for Beginning,Earliest origins — Clark/Broadberry mechanism,""Earliest origins (Black Death, 1347–1352): Clark & parts of Broadberry; Mechanism: Mortality → Factor Prices → Wages / Malthusian relaxation."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.2 Theories for Beginning,Early origins — Early Modern triggers,""Early origins (Early Modern, 1500–1700): 16th: New maritime routes; 17th: Scientific Revolution."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.2 Theories for Beginning,Late origins — Industrial Revolution timing claim,""Late origins (Industrial Revolution, late 18th/early 19th): not earlier than 1750; some also underline that not just recent but also just short-lived."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.3 Measurement & Problems,Measurement — urbanization proxy logic (Acemoglu et al. 2005),""Urbanization: Acemoglu et al. (2005) – The rise of Europe. Assuming non-agricultural activity in urban areas/cities, then urbanization rates measure total surplus in agriculture beyond subsistence and thereby proxy for LT-development. Urbanization ↔ Non-agricultural share ↔ Agricultural surplus."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.3 Measurement & Problems,Measurement — GDP per capita reconstructions issues (Broadberry 2013),""GDP per-capita reconstructions: Broadberry (2013) – Accounting for the Great Divergence. Uncertainty + unit-of-analysis issue (countries vs city-regions)."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.3 Measurement & Problems,Measurement — real wages: definition + key problems,""Real wages: diminishing return to labor; wage = marginal product/revenue; problem: whose wages?/who is “typical” worker?; Kumon (2019) – Wages and Incomes in Japan versus Europe, 1600–1870."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.3 Measurement & Problems,Real wages — implication for productivity,""So if real wages increase, then productivity/output must increase, too."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.3 Measurement & Problems,Pomeranz — sketch notes,""Overcome original constraints; certain sets of conditions which are similar for …; if they followed that path then they would have but at war → face constraints; Japan major restauration: abolish shogunate; only asian country to transition to industrial economy."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Demographic bucket — core mechanism (Clark/Broadberry),""Population shocks and demographic regimes change the land–labor ratio and therefore real wages, incentives, and the ability to accumulate. In a Malthusian economy, productivity gains tend to be eaten up by population growth, keeping living standards near subsistence."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Demographic bucket — Black Death shift,""A major mortality shock (Black Death) can shift Europe to a higher land/labor ratio: higher real wages; more meat/land-intensive consumption; potentially more human capital investment and urban growth."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Demographic bucket — Clark persistence claim,""In Clark’s version, what matters is not just the initial shock but persistent high mortality (plague becomes endemic), preventing population from fully re-absorbing gains → wages stay higher longer, helping divergence."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Demographic bucket — evidence used,""What it tends to use as evidence: real wage series (especially post-Black Death wage increases; long-run wage divergence); sometimes urbanization as a proxy for surplus and structural change; Broadberry-style reconstructions can be used to argue for earlier European lead (with uncertainty)."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Demographic bucket — limits/critiques,""Limits / common critiques: region selection (Europe is heterogeneous; which “Europe” is diverging?); mechanism gap (higher wages don’t automatically imply industrialization—why doesn’t every high-wage region industrialize?); comparability (different baskets, labor types, and representativeness — “whose wage?”)."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Geographic-Geopolitical bucket — framing,""This bucket mixes three related but distinct logics. Introduce it as: constraints + competition + external resources/power."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Pomeranz — constraints and “escape” (coal + colonies): core mechanism,""Advanced Eurasian regions faced similar preindustrial constraints (land, biomass energy, diminishing returns). Britain escapes via coal and the New World. The key is not “Europe was always better,” but that industrialization required breaking an ecological/energy bottleneck. Coal substitutes for land-based energy (wood/charcoal). Colonies / Atlantic trade substitute for land by importing resource-intensive goods (land, timber, cotton, calories), easing pressure in the core."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Pomeranz — evidence style,""Evidence style: resource scarcity indicators (wood prices, deforestation), energy constraints; trade flows that function as “virtual land/energy”; wage patterns consistent with a late takeoff."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Pomeranz — limits/critiques,""Limits / critiques: coal existence isn’t enough—why Britain specifically, why then?; how large was the colonial contribution relative to domestic changes?; debate over whether Asia’s “core regions” were truly comparable."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Diamond — geography/diffusion/state competition: core mechanism,""Deep geography shapes agriculture, population density, state formation, technology diffusion, and disease exposure—creating unequal starting positions. East–west axis (Eurasia) supports diffusion; north–south axes hinder it. Domesticable plants/animals and resulting immunity advantages. Often used to explain why some regions become conquerors in the long run."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Diamond — evidence style + limits,""Evidence style: very long-run comparative geography/biogeography; patterns of diffusion and domestication. Limits/critiques (in divergence debates): explains very long-run inequality well, but is less precise about timing and location of the 18th–19th century break (Britain vs Yangzi Delta, etc.); risks being too “structural” to explain short-run institutional choices."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Wallerstein — world-system hierarchy: core mechanism,""Europe’s early advantage becomes self-reinforcing through a global system with a core extracting surplus from peripheries via unequal exchange and coercion. Center–periphery relations shape specialization patterns: core — higher-value production, finance, military/political control; periphery — raw materials, coerced labor, dependence. The system “locks in” relative underdevelopment."""
"2. The Great Divergence,2.1 Great Divergence & Measurement (Problems),2.1.4 Overview of Explanations/Causal Taxonomy,Wallerstein — evidence style + limits,""Evidence style: colonial trade structures, coercive institutions, monopoly companies; persistent global inequality patterns and path dependence. Limits/critiques: can over-attribute change to international trade elites and underplay internal developments in Asia/Europe (Pomeranz’s critique); hard to quantify causality (does the system cause divergence, or reflect it?)."""
